Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
TIGER SHARK,2016-02-21,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,1.85,25,February,Sunday
TIGER SHARK,2016-02-25,Rainbow Beach,Rainbow Beach,-25°53.71,153°5.94,3.3,25,February,Thursday
TIGER SHARK,2016-02-27,Mackay,Harbour Beach,-21°7.25,149°13.65,2.1,27,February,Saturday
TIGER SHARK,2016-02-27,Townsville,Florence Bay,-19°7.35,146°53.11,1.7,30,February,Saturday
TIGER SHARK,2016-02-28,Bundaberg,Neilson Park,-24°48.09,152°27.59,3.5,26,February,Sunday
TIGER SHARK,2016-02-29,Townsville,Pallarenda Beach,-19°11.98,146°46.66,1.4,30,February,Monday
TIGER SHARK,2016-03-02,Townsville,Pallarenda Beach,-19°11.92,146°46.65,1.35,30,March,Wednesday
TIGER SHARK,2016-03-07,Townsville,Horseshoe Bay,-19°6.26,146°51.56,2.1,30,March,Monday
TIGER SHARK,2016-03-15,Gold Coast,Broadbeach,-28°1.09,153°26.23,3.65,27,March,Tuesday
TIGER SHARK,2016-03-16,Sunshine Coast North,Peregian Beach,-26°28.95,153°6.2,0.9,24,March,Wednesday
TIGER SHARK,2016-03-18,Cairns,Clifton Beach,-16°45.58,145°40.93,1.8,29,March,Friday
TIGER SHARK,2016-03-19,Bundaberg,Neilson Park,-24°48.23,152°27.75,2.5,26,March,Saturday
TIGER SHARK,2016-03-19,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.3,27,March,Saturday
TIGER SHARK,2016-03-21,Cairns,Holloways Beach,-16°49.82,145°44.85,3.1,29,March,Monday
TIGER SHARK,2016-03-21,Mackay,Harbour Beach,-21°7.05,149°13.69,2.2,27,March,Monday
TIGER SHARK,2016-03-21,Mackay,Harbour Beach,-21°7.16,149°13.66,3.4,27,March,Monday
TIGER SHARK,2016-03-21,Mackay,Lamberts Beach,-21°4.27,149°13.87,2.1,27,March,Monday
TIGER SHARK,2016-03-21,Rainbow Beach,Rainbow Beach,-25°53.53,153°5.79,1.4,27,March,Monday
TIGER SHARK,2016-03-22,Bundaberg,Kellys Beach,-24°49.11,152°28.3,3.57,25,March,Tuesday
TIGER SHARK,2016-03-22,Bundaberg,Neilson Park,-24°48.32,152°27.82,3.08,25,March,Tuesday
TIGER SHARK,2016-03-22,Rainbow Beach,Rainbow Beach,-25°53.56,153°5.69,1.4,27,March,Tuesday
TIGER SHARK,2016-03-25,Bundaberg,Kellys Beach,-24°49.47,152°28.31,2,25,March,Friday
TIGER SHARK,2016-03-25,Rainbow Beach,Rainbow Beach,-25°53.56,153°5.69,3.95,27,March,Friday
TIGER SHARK,2016-03-26,Mackay,Harbour Beach,-21°7.14,149°13.66,2.8,27,March,Saturday
TIGER SHARK,2016-03-26,Townsville,Horseshoe Bay,-19°6.18,146°51.58,1.4,29,March,Saturday
TIGER SHARK,2016-03-27,Cairns,Ellis Beach,-16°43.26,145°38.96,2.2,29,March,Sunday
TIGER SHARK,2016-03-28,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.85,29,March,Monday
TIGER SHARK,2016-03-28,Townsville,Nelly Bay,-19°10.05,146°51.21,3.7,29,March,Monday
TIGER SHARK,2016-03-31,Mackay,Harbour Beach,-21°7.39,149°13.61,2,27,March,Thursday
TIGER SHARK,2016-04-01,Mackay,Harbour Beach,-21°7.14,149°13.66,2.6,26,April,Friday
TIGER SHARK,2016-04-01,Mackay,Harbour Beach,-21°7.05,149°13.69,3.4,26,April,Friday
TIGER SHARK,2016-04-02,Cairns,Holloways Beach,-16°49.82,145°44.85,0.7,29,April,Saturday
TIGER SHARK,2016-04-05,Cairns,Holloways Beach,-16°49.89,145°44.91,1.7,27,April,Tuesday
TIGER SHARK,2016-04-06,Townsville,Nelly Bay,-19°10.61,146°50.92,2,28,April,Wednesday
TIGER SHARK,2016-04-07,Gladstone,Tannum Sands,-23°56.82,151°22.78,3.35,27,April,Thursday
TIGER SHARK,2016-04-09,Cairns,Ellis Beach,-16°43.36,145°39.08,2.9,27,April,Saturday
TIGER SHARK,2016-04-12,Gladstone,Tannum Sands,-23°57.03,151°23.04,2.6,26,April,Tuesday
TIGER SHARK,2016-04-12,Gladstone,Tannum Sands,-23°56.62,151°22.58,3.7,26,April,Tuesday
TIGER SHARK,2016-04-13,Townsville,Horseshoe Bay,-19°6.13,146°51.59,1.5,29,April,Wednesday
TIGER SHARK,2016-04-13,Townsville,Horseshoe Bay,-19°6.13,146°51.59,3.5,29,April,Wednesday
TIGER SHARK,2016-04-18,Townsville,Pallarenda Beach,-19°11.98,146°46.66,3.6,27,April,Monday
TIGER SHARK,2016-04-22,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.1,26,April,Friday
TIGER SHARK,2016-04-23,Bundaberg,Neilson Park,-24°48.32,152°27.82,1.6,23,April,Saturday
TIGER SHARK,2016-04-23,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.3,25,April,Saturday
TIGER SHARK,2016-04-25,Bundaberg,Neilson Park,-24°48.32,152°27.82,2.7,23,April,Monday
TIGER SHARK,2016-04-30,Mackay,Lamberts Beach,-21°4.41,149°13.9,1.7,26,April,Saturday
TIGER SHARK,2016-05-02,Mackay,Lamberts Beach,-21°4.37,149°13.89,2,25,May,Monday
TIGER SHARK,2016-05-02,Sunshine Coast South & Bribie Island,Buddina Beach,-26°42.21,153°8.38,1,24,May,Monday
TIGER SHARK,2016-05-05,Mackay,Blacks Beach,-21°2.76,149°11.55,1.8,25,May,Thursday
TIGER SHARK,2016-05-05,Mackay,Lamberts Beach,-21°4.32,149°13.89,2,25,May,Thursday
TIGER SHARK,2016-05-07,Mackay,Lamberts Beach,-21°4.37,149°13.89,2,25,May,Saturday
TIGER SHARK,2016-05-10,Bundaberg,Kellys Beach,-24°48.19,152°28.32,3.16,24,May,Tuesday
TIGER SHARK,2016-05-10,Bundaberg,Neilson Park,-24°48.4,152°27.91,2.7,24,May,Tuesday
TIGER SHARK,2016-05-10,Mackay,Bucasia Beach,-21°1.46,149°9.97,3.8,25,May,Tuesday
TIGER SHARK,2016-05-10,Mackay,Harbour Beach,-21°7.32,149°13.63,2.4,25,May,Tuesday
TIGER SHARK,2016-05-11,Cairns,Buchans Point Beach,-16°43.56,145°39.78,1.4,27,May,Wednesday
TIGER SHARK,2016-05-13,Bundaberg,Kellys Beach,-24°49.11,152°28.3,3.37,23,May,Friday
TIGER SHARK,2016-05-14,Rainbow Beach,Rainbow Beach,-25°53.77,153°5.78,1.7,24,May,Saturday
TIGER SHARK,2016-05-15,Bundaberg,Kellys Beach,-24°49.33,152°28.33,2.03,23,May,Sunday
TIGER SHARK,2016-05-15,Capricorn Coast,Farnborough Beach,-23°6.82,150°45.26,3.12,25,May,Sunday
TIGER SHARK,2016-05-19,Townsville,Radical Bay,-19°6.45,146°52.51,2.45,26,May,Thursday
TIGER SHARK,2016-05-20,Cairns,Ellis Beach,-16°43.21,145°38.85,2.1,25,May,Friday
TIGER SHARK,2016-05-21,Cairns,Buchans Point Beach,-16°43.56,145°39.78,2.1,25,May,Saturday
TIGER SHARK,2016-05-21,Townsville,Pallarenda Beach,-19°11.85,146°46.64,3.65,26,May,Saturday
TIGER SHARK,2016-05-22,Bundaberg,Neilson Park,-24°48.32,152°27.82,1.13,23,May,Sunday
TIGER SHARK,2016-05-25,Bundaberg,Kellys Beach,-24°49.47,152°28.31,2.15,22,May,Wednesday
TIGER SHARK,2016-05-28,Sunshine Coast North,Noosa,-26°22.23,153°6.49,2.01,23,May,Saturday
TIGER SHARK,2016-05-28,Sunshine Coast North,Sunshine Beach,-26°24.31,153°7.06,1.02,23,May,Saturday
TIGER SHARK,2016-05-28,Townsville,Alma Bay,-19°8.85,146°52.42,1.3,26,May,Saturday
TIGER SHARK,2016-05-29,Bundaberg,Kellys Beach,-24°49.55,152°28.29,4.09,22,May,Sunday
TIGER SHARK,2016-05-30,Mackay,Harbour Beach,-21°7.14,149°13.66,3,25,May,Monday
TIGER SHARK,2016-05-30,Mackay,Harbour Beach,-21°7.2,149°13.65,2.4,25,May,Monday
TIGER SHARK,2016-05-30,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.5,25,May,Monday
TIGER SHARK,2016-05-30,Townsville,Horseshoe Bay,-19°6.26,146°51.56,1.3,26,May,Monday
TIGER SHARK,2016-06-01,Gladstone,Tannum Sands,-23°56.55,151°22.54,1.6,24,June,Wednesday
TIGER SHARK,2016-06-03,Gold Coast,Rainbow Bay,-28°9.31,153°32.51,1.78,23,June,Friday
TIGER SHARK,2016-06-04,Townsville,Florence Bay,-19°7.3,146°53.12,0.89,25,June,Saturday
TIGER SHARK,2016-06-05,Mackay,Bucasia Beach,-21°1.15,149°9.63,2,25,June,Sunday
TIGER SHARK,2016-06-08,Townsville,Alma Bay,-19°9.11,146°52.46,1.05,25,June,Wednesday
TIGER SHARK,2016-06-08,Townsville,Horseshoe Bay,-19°6.13,146°51.59,2,25,June,Wednesday
TIGER SHARK,2016-06-12,Bundaberg,Kellys Beach,-24°49.4,152°28.32,1.95,21,June,Sunday
TIGER SHARK,2016-06-16,Townsville,Alma Bay,-19°9.02,146°52.43,3.8,24,June,Thursday
TIGER SHARK,2016-06-16,Townsville,Radical Bay,-19°6.45,146°52.51,3.1,24,June,Thursday
TIGER SHARK,2016-06-18,Cairns,Ellis Beach,-16°43.21,145°38.85,4.1,25,June,Saturday
TIGER SHARK,2016-07-02,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.9,21,July,Saturday
TIGER SHARK,2016-07-03,Mackay,Lamberts Beach,-21°4.27,149°13.87,1.9,24,July,Sunday
TIGER SHARK,2016-07-04,Capricorn Coast,Emu Park,-23°15.61,150°49.94,2.08,21,July,Monday
TIGER SHARK,2016-07-05,Mackay,Eimeo Beach,-21°1.86,149°10.98,2.4,24,July,Tuesday
TIGER SHARK,2016-07-08,Bundaberg,Kellys Beach,-24°48.19,152°28.32,1.48,18,July,Friday
TIGER SHARK,2016-07-14,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.35,20,July,Thursday
TIGER SHARK,2016-07-16,Townsville,Radical Bay,-19°6.45,146°52.51,4,22,July,Saturday
TIGER SHARK,2016-07-18,Townsville,Nelly Bay,-19°10.36,146°51.05,1.95,22,July,Monday
TIGER SHARK,2016-07-20,Cairns,Ellis Beach,-16°43.26,145°38.96,2.7,23,July,Wednesday
TIGER SHARK,2016-07-22,Mackay,Eimeo Beach,-21°1.8,149°10.76,2.01,24,July,Friday
TIGER SHARK,2016-07-23,Bundaberg,Kellys Beach,-24°49.25,152°28.33,1.41,17,July,Saturday
TIGER SHARK,2016-07-24,Mackay,Harbour Beach,-21°7.16,149°13.66,3.6,24,July,Sunday
TIGER SHARK,2016-07-27,Townsville,Radical Bay,-19°6.51,146°52.63,3.2,24,July,Wednesday
TIGER SHARK,2016-07-28,Bundaberg,Kellys Beach,-24°49.62,152°28.26,2.32,17,July,Thursday
TIGER SHARK,2016-07-30,Mackay,Harbour Beach,-21°7.2,149°13.65,2.4,24,July,Saturday
TIGER SHARK,2016-07-30,Rainbow Beach,Rainbow Beach,-25°53.54,153°5.77,2.6,21,July,Saturday
TIGER SHARK,2016-08-01,Bundaberg,Kellys Beach,-24°49.25,152°28.33,1.95,17,August,Monday
TIGER SHARK,2016-08-02,Mackay,Bucasia Beach,-21°1.38,149°9.73,2.3,24,August,Tuesday
TIGER SHARK,2016-08-03,Rainbow Beach,Rainbow Beach,-25°53.53,153°5.79,3.85,20,August,Wednesday
TIGER SHARK,2016-08-07,Cairns,Ellis Beach,-16°43.21,145°38.85,1.4,23,August,Sunday
TIGER SHARK,2016-08-07,Cairns,Trinity Beach,-16°46.5,145°41.97,2.4,23,August,Sunday
TIGER SHARK,2016-08-09,Cairns,Ellis Beach,-16°43.21,145°38.85,1.24,22,August,Tuesday
TIGER SHARK,2016-08-09,Mackay,Blacks Beach,-21°2.69,149°11.52,2.2,24,August,Tuesday
TIGER SHARK,2016-08-10,Bundaberg,Kellys Beach,-24°49.4,152°28.32,1.28,17,August,Wednesday
TIGER SHARK,2016-08-10,Mackay,Harbour Beach,-21°7.08,149°13.62,3.2,24,August,Wednesday
TIGER SHARK,2016-08-10,Townsville,Radical Bay,-19°6.51,146°52.63,2.5,23,August,Wednesday
TIGER SHARK,2016-08-14,Bundaberg,Kellys Beach,-24°49.62,152°28.26,2.37,17,August,Sunday
TIGER SHARK,2016-08-22,Townsville,Alma Bay,-19°9.11,146°52.46,2.35,23,August,Monday
TIGER SHARK,2016-08-22,Townsville,Horseshoe Bay,-19°6.84,146°50.9,2,23,August,Monday
TIGER SHARK,2016-08-26,Cairns,Ellis Beach,-16°43.23,145°38.91,2.6,22,August,Friday
TIGER SHARK,2016-08-29,Townsville,Florence Bay,-19°7.35,146°53.11,1.13,23,August,Monday
TIGER SHARK,2016-09-02,Gold Coast,Rainbow Bay,-28°9.31,153°32.45,3.5,20,September,Friday
TIGER SHARK,2016-09-04,Bundaberg,Kellys Beach,-24°49.4,152°28.32,1.56,19,September,Sunday
TIGER SHARK,2016-09-06,Bundaberg,Kellys Beach,-24°48.19,152°28.32,2.26,19,September,Tuesday
TIGER SHARK,2016-09-09,Townsville,Horseshoe Bay,-19°6.26,146°51.56,2.3,24,September,Friday
TIGER SHARK,2016-09-11,Mackay,Harbour Beach,-21°7.08,149°13.62,3.4,24,September,Sunday
TIGER SHARK,2016-09-11,Mackay,Harbour Beach,-21°7.08,149°13.62,2.8,24,September,Sunday
TIGER SHARK,2016-09-14,Bundaberg,Neilson Park,-24°48.4,152°27.91,3.2,20,September,Wednesday
TIGER SHARK,2016-09-14,Nth Stradbroke Is.,Cylinder Beach,-27°25.23,153°32.21,3.5,21,September,Wednesday
TIGER SHARK,2016-09-16,Mackay,Harbour Beach,-21°7.01,149°13.69,2.8,23,September,Friday
TIGER SHARK,2016-09-16,Mackay,Harbour Beach,-21°7.08,149°13.62,3.2,23,September,Friday
TIGER SHARK,2016-09-16,Mackay,Harbour Beach,-21°7.08,149°13.62,2.7,23,September,Friday
TIGER SHARK,2016-09-17,Townsville,Florence Bay,-19°7.35,146°53.11,1.4,26,September,Saturday
TIGER SHARK,2016-09-18,Nth Stradbroke Is.,Ocean Beach,-27°27.29,153°32.36,3.9,21,September,Sunday
TIGER SHARK,2016-09-19,Rainbow Beach,Rainbow Beach,-25°53.71,153°5.94,3.65,22,September,Monday
TIGER SHARK,2016-09-19,Townsville,Horseshoe Bay,-19°6.22,146°51.57,3.55,27,September,Monday
TIGER SHARK,2016-09-20,Bundaberg,Kellys Beach,-24°49.55,152°28.29,1.42,21,September,Tuesday
TIGER SHARK,2016-09-22,Mackay,Harbour Beach,-21°7.14,149°13.66,2.2,23,September,Thursday
TIGER SHARK,2016-09-24,Sunshine Coast North,Noosa,-26°22.2,153°6.55,2.85,20,September,Saturday
TIGER SHARK,2016-09-27,Sunshine Coast North,Noosa,-26°22.23,153°6.49,3.21,23,September,Tuesday
TIGER SHARK,2016-09-29,Sunshine Coast North,Sunshine Beach,-26°24.43,153°7.03,2.51,23,September,Thursday
TIGER SHARK,2016-09-30,Bundaberg,Kellys Beach,-24°49.62,152°28.26,2.76,21,September,Friday
TIGER SHARK,2016-10-01,Capricorn Coast,Emu Park,-23°15.16,150°50.08,3.65,23,October,Saturday
TIGER SHARK,2016-10-01,Gold Coast,Broadbeach,-28°1.16,153°26.22,3.04,18,October,Saturday
TIGER SHARK,2016-10-01,Capricorn Coast,Emu Park,-23°15.16,150°50.08,3.65,23,October,Saturday
TIGER SHARK,2016-10-01,Gold Coast,Broadbeach,-28°1.16,153°26.22,3.04,18,October,Saturday
TIGER SHARK,2016-10-05,Nth Stradbroke Is.,Cylinder Beach,-27°25.02,153°30.88,2.8,20,October,Wednesday
TIGER SHARK,2016-10-07,Rainbow Beach,Rainbow Beach,-25°53.52,153°5.82,2.75,22,October,Friday
TIGER SHARK,2016-10-07,Sunshine Coast North,Noosa,-26°22.19,153°6.59,2.54,21,October,Friday
TIGER SHARK,2016-10-07,Sunshine Coast North,Noosa,-26°22.2,153°6.55,3.34,21,October,Friday
TIGER SHARK,2016-10-08,Townsville,Radical Bay,-19°6.54,146°52.68,3.5,26,October,Saturday
TIGER SHARK,2016-10-17,Capricorn Coast,Kemp Beach,-23°10.13,150°47.69,3.46,23,October,Monday
TIGER SHARK,2016-10-18,Nth Stradbroke Is.,Ocean Beach,-27°27.29,153°32.36,3.1,21,October,Tuesday
TIGER SHARK,2016-10-19,Mackay,Harbour Beach,-21°7.08,149°13.62,2,24,October,Wednesday
TIGER SHARK,2016-10-19,Mackay,Harbour Beach,-21°7.2,149°13.65,2.2,24,October,Wednesday
TIGER SHARK,2016-10-19,Rainbow Beach,Rainbow Beach,-25°53.66,153°5.91,3.15,22,October,Wednesday
TIGER SHARK,2016-10-21,Mackay,Harbour Beach,-21°7.1,149°13.68,2.1,25,October,Friday
TIGER SHARK,2016-10-22,Sunshine Coast North,Hyatt Regency Resort,-26°33.52,153°6.27,3.76,23,October,Saturday
TIGER SHARK,2016-10-26,Cairns,Ellis Beach,-16°43.3,145°39.01,3.1,26,October,Wednesday
TIGER SHARK,2016-10-28,Mackay,Lamberts Beach,-21°4.32,149°13.89,2.3,25,October,Friday
TIGER SHARK,2016-10-28,Sunshine Coast North,Sunrise Beach,-26°25.04,153°6.98,2.45,23,October,Friday
TIGER SHARK,2016-10-31,Nth Stradbroke Is.,Cylinder Beach,-27°25.02,153°30.88,3,22,October,Monday
TIGER SHARK,2016-11-05,Townsville,Radical Bay,-19°6.51,146°52.63,1.4,28,November,Saturday
TIGER SHARK,2016-11-05,Townsville,Radical Bay,-19°6.49,146°52.59,2.15,28,November,Saturday
TIGER SHARK,2016-11-09,Mackay,Harbour Beach,-21°7.08,149°13.62,2.2,25,November,Wednesday
TIGER SHARK,2016-11-09,Mackay,Harbour Beach,-21°7.08,149°13.62,2.3,25,November,Wednesday
TIGER SHARK,2016-11-09,Mackay,Harbour Beach,-21°7.08,149°13.62,1.6,25,November,Wednesday
TIGER SHARK,2016-11-12,Bundaberg,Kellys Beach,-24°49.25,152°28.33,2.1,24,November,Saturday
TIGER SHARK,2016-11-15,Bundaberg,Bargara,-24°48.65,152°27.99,2.73,24,November,Tuesday
TIGER SHARK,2016-11-19,Townsville,Horseshoe Bay,-19°6.67,146°50.54,2.55,28,November,Saturday
TIGER SHARK,2016-11-24,Mackay,Harbour Beach,-21°7.28,149°13.56,2,25,November,Thursday
TIGER SHARK,2016-11-24,Townsville,Florence Bay,-19°7.39,146°53.11,3,28,November,Thursday
TIGER SHARK,2016-12-03,Townsville,Alma Bay,-19°8.97,146°52.41,1.7,28,December,Saturday
TIGER SHARK,2016-12-04,Bundaberg,Neilson Park,-24°48.16,152°27.67,3.28,25,December,Sunday
TIGER SHARK,2016-12-09,Cairns,Holloways Beach,-16°49.89,145°44.91,2.3,29,December,Friday
TIGER SHARK,2016-12-17,Bundaberg,Kellys Beach,-24°49.11,152°28.3,1.82,25,December,Saturday
TIGER SHARK,2016-12-17,Rainbow Beach,Rainbow Beach,-25°54.02,153°5.99,2.47,25,December,Saturday
TIGER SHARK,2016-12-17,Townsville,Horseshoe Bay,-19°6.26,146°51.56,3.1,29,December,Saturday
TIGER SHARK,2016-12-25,Cairns,Ellis Beach,-16°43.21,145°38.85,0.88,28,December,Sunday
TIGER SHARK,2016-12-25,Mackay,Harbour Beach,-21°7.28,149°13.56,2,27,December,Sunday
TIGER SHARK,2016-12-27,Gold Coast,Kirra Beach,-28°9.3,153°32.02,2.5,24,December,Tuesday
TIGER SHARK,2016-12-30,Townsville,Horseshoe Bay,-19°6.22,146°51.57,1.95,30,December,Friday
TIGER SHARK,2016-12-30,Townsville,Horseshoe Bay,-19°6.8,146°50.79,3,30,December,Friday
TIGER SHARK,2016-12-31,Townsville,Nelly Bay,-19°10.05,146°51.21,3.5,31,December,Saturday
UNKNOWN SHARK,2016-01-09,Bundaberg,Kellys Beach,-24°49.71,152°28.24,2,25,January,Saturday
UNKNOWN SHARK,2016-02-01,Bundaberg,Neilson Park,-24°48.16,152°27.67,2,26,February,Monday
WHITE SHARK,2016-07-06,Gold Coast,North Burleigh Beach,-28°4.17,153°27.12,2.5,19,July,Wednesday
WHITE SHARK,2016-07-12,Gold Coast,Rainbow Bay,-28°9.32,153°33.03,3.14,20,July,Tuesday
WHITE SHARK,2016-08-18,Gold Coast,Main Beach,-27°58.24,153°26.07,1.6,21,August,Thursday
WHITE SHARK,2016-09-04,Gold Coast,Miami Beach,-28°4,153°27.04,2.1,19,September,Sunday
WHITE SHARK,2016-08-27,Nth Stradbroke Is.,Cylinder Beach,-27°25.21,153°31.63,2.3,21,August,Saturday
WHITE SHARK,2016-09-02,Rainbow Beach,Rainbow Beach,-25°53.62,153°5.89,1.61,21,September,Friday
ZEBRA SHARK,2016-02-03,Gold Coast,Kirra Beach,-28°9.3,153°32.02,2,22,February,Wednesday
